control_1	control_2	control_3	heat_1	heat_2	heat_3
YBL021C	7.72157419658486	7.509773233815	7.49659831002617	7.35749716632955	7.32985530311131	7.43677017432251
YBL022C	11.8478556425916	11.899197481674	11.7829213196485	12.9999488634218	13.0565854517739	13.0592117238771
YBL023C	10.4643037127085	10.4837513333988	10.4476441012595	10.1332561357484	10.2130967781949	10.2421202837007
YBL024W	11.7609056723215	11.6499890409257	11.7484222321662	10.3959853168992	10.6577304577371	10.9326220124625
YBL025W	7.52793226085551	7.37007371088768	7.7030334608655	7.66319540656976	7.53021034215811	7.68116782221405
YBL026W	8.94821468402727	8.97660955068969	8.64776797759292	8.00757891618106	8.05510983846061	8.11009019006988
YBL027W	14.6205038788693	14.4350119989734	14.7681909446919	10.9760264179158	11.2295155662796	12.2339743598431
YBL028C	8.970755176315	8.43642381423612	8.938993043898	7.12895383321887	6.94667443305329	7.23878878906533
YBL029C-A	8.11932936190522	8.1668357655	7.97515387037955	8.76503778974243	8.46332771321204	8.05518228972187
YBL029W	8.44375438628783	8.58896975193335	8.27930133486038	7.00682609769811	7.16573299191368	7.03424587779728
YBL030C	12.9772913902211	13.4926398903604	13.3183360733815	12.5074330199391	12.7882442183964	12.6685204004876
YBL031W	8.81369653818938	8.63261279394413	8.93285086840851	8.0099102022931	7.92796887179773	8.20694681695816
YBL032W	11.6769162918509	11.9362807725061	11.6972044754183	10.6987302071861	10.7685841904814	10.8955755547815
YBL033C	10.5493076405839	10.4417493203497	10.6914407425494	10.963229634393	10.8963856062453	10.7892713692429
YBL034C	9.88540735557486	9.97008363878835	9.93449403910342	9.64435295411195	9.63240485622551	9.64642239997752
YBL035C	9.81305611879285	10.0251356173691	9.83910021721591	9.05022813870392	8.91717375349447	9.15871795507997
YBL036C	10.8089380189992	10.48511268649	10.8469763288865	10.4275409804299	10.3753183772598	10.6728203647379
YBL037W	9.97162724139735	10.2216176795772	10.0257933984751	10.1323153394054	10.0290413014938	9.99653417103329
YBL038W	9.36452129700187	9.33959213420838	9.3840948393552	9.56198711133741	9.60709580968998	9.69660151733908
YBL039C	12.1839210382478	11.9238478028264	12.0617693531746	9.81883988427661	10.4861237644369	10.4082433554059
YBL039W-B	5.20048096837578	4.77417209763555	4.63689116225732	5.34488021665589	5.45061943677339	5.00855579457909
YBL040C	11.3977667735806	11.5170041412421	11.3457894480546	11.378337225113	11.36742747019	11.0239064313514
YBL041W	12.0266399590853	11.8830169675204	11.9049880788636	12.6948392756004	12.6436040355546	12.6886975276207
YBL042C	11.6384549197142	11.6217452496142	11.3453803757615	10.5332115670801	10.907332432215	10.4749444445134
