baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YDL051W	2203.92450512546	-1.26611879677285	0.181164616404541	-6.98877530226762	2.77296111652952e-12	1.40216745753146e-11
YDL055C	29827.8167136787	-1.43818611833501	0.125393467423105	-11.4693863076795	1.87987699467395e-30	2.85171940967511e-29
YDL059C	230.789192530147	1.2577780501938	0.176189580955024	7.13877655747916	9.41652576475152e-13	4.95113255142139e-12
YDL060W	1509.92039361767	-1.2498677811644	0.199623487151228	-6.26112587752531	3.82207838637158e-10	1.59527840695538e-09
YDL061C	4628.12312625321	-3.32556035358474	0.276583865568725	-12.0236961282849	2.66765995810633e-33	4.70853375230344e-32
YDL072C	4407.53359173553	1.09144694177754	0.16010075970499	6.81725023534364	9.27995449603779e-12	4.45591203487434e-11
YDL075W	10143.9788971552	-3.51106895537621	0.49604583610217	-7.07811395609223	1.46129543035538e-12	7.58724437029915e-12
YDL081C	11275.4532771754	-3.39585637894844	0.187962257833877	-18.066692846123	5.83056910531505e-73	6.04921544676436e-71
YDL082W	8499.15278891743	-2.8393773741042	0.280528320806276	-10.1215355581335	4.43403784797643e-24	4.87912119256497e-23
YDL083C	12051.5734984815	-3.64201455174439	0.485021458832413	-7.50897611934897	5.9591593967114e-14	3.52214812765954e-13
YDL084W	11295.9369922187	-1.22759710430064	0.112913741670053	-10.8719903011258	1.56743650409687e-27	2.09834241677484e-26
YDL085C-A	154.267346135296	-1.04498867739515	0.179178085378215	-5.83212324871848	5.47264702400792e-09	2.03299739191087e-08
YDL085W	509.26912311171	4.43903141203409	0.249370715867499	17.8009330269266	6.95012569502394e-71	6.73003838134818e-69
YDL097C	7282.76261390353	1.04057156397688	0.107593131376619	9.67135681119332	3.99051925262923e-22	3.94973029945074e-21
YDL110C	1675.11723268877	2.46625426466334	0.165080177861365	14.9397359308306	1.81693803835588e-50	8.72430578747743e-49
YDL112W	1775.07034406829	-1.68707054992611	0.162481451215532	-10.3831578146616	2.95825062401055e-25	3.43748722510026e-24
