ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010498	GO:0010498	proteasomal protein catabolic process	37/571	165/5607	2.28365617530579e-06	0.000141171472655267	0.00012587425425609	YAL005C/YBR105C/YBR169C/YBR170C/YBR280C/YDL126C/YDL147W/YDR330W/YDR363W-A/YDR394W/YEL012W/YFL044C/YFR004W/YFR010W/YFR050C/YFR052W/YGL011C/YGL141W/YGR048W/YGR066C/YGR225W/YGR253C/YIL097W/YIR025W/YJL034W/YLR024C/YML088W/YMR067C/YMR184W/YNL155W/YOL038W/YOL082W/YOR007C/YOR261C/YOR362C/YPL052W/YPR108W	37
GO:0043934	GO:0043934	sporulation	37/571	165/5607	2.28365617530579e-06	0.000141171472655267	0.00012587425425609	YAL018C/YCL048W/YCR045C/YDL222C/YDR218C/YDR512C/YDR516C/YEL060C/YER096W/YER179W/YGL170C/YGR225W/YHL024W/YHR139C/YIL073C/YIL099W/YJL037W/YJL038C/YJL048C/YJL103C/YKL096W/YLR054C/YLR307W/YML066C/YMR067C/YNL012W/YNL194C/YNL196C/YNL202W/YOL047C/YOL048C/YOL071W/YOL132W/YOR177C/YOR208W/YOR338W/YPL027W	37
GO:0015980	GO:0015980	energy derivation by oxidation of organic compounds	35/571	153/5607	2.65727386131132e-06	0.0001571257587558	0.00014009974774511	YAL017W/YAL054C/YBR026C/YCR005C/YDL085W/YDR031W/YEL011W/YEL039C/YER054C/YER067W/YFL053W/YFR003C/YFR017C/YIL066C/YIL099W/YIL111W/YJL045W/YJL116C/YKL035W/YKL085W/YKR046C/YLR258W/YML070W/YMR030W/YMR105C/YMR118C/YMR311C/YNL009W/YNL117W/YNR001C/YOL071W/YOR178C/YPR001W/YPR160W/YPR184W	35
GO:0030435	GO:0030435	sporulation resulting in formation of a cellular spore	36/571	161/5607	3.36757348581935e-06	0.00019082916419643	0.000170151081388767	YAL018C/YCL048W/YCR045C/YDL222C/YDR218C/YDR512C/YDR516C/YEL060C/YER096W/YER179W/YGL170C/YGR225W/YHL024W/YHR139C/YIL073C/YIL099W/YJL037W/YJL038C/YJL048C/YJL103C/YKL096W/YLR054C/YLR307W/YML066C/YMR067C/YNL012W/YNL194C/YNL196C/YNL202W/YOL047C/YOL048C/YOL071W/YOL132W/YOR177C/YOR338W/YPL027W	36
GO:0006508	GO:0006508	proteolysis	67/571	385/5607	4.68715092127112e-06	0.000254981010117149	0.000227351488897024	YAL005C/YBL022C/YBL075C/YBR062C/YBR105C/YBR114W/YBR139W/YBR169C/YBR170C/YBR173C/YBR280C/YCL044C/YCR045C/YDL097C/YDL126C/YDL147W/YDR059C/YDR231C/YDR330W/YDR358W/YDR363W-A/YDR394W/YEL012W/YEL060C/YER098W/YER143W/YFL044C/YFR004W/YFR010W/YFR050C/YFR052W/YGL011C/YGL141W/YGL259W/YGR048W/YGR066C/YGR225W/YGR231C/YGR253C/YHR138C/YIL097W/YIR025W/YIR039C/YJL034W/YJL048C/YKL103C/YLL039C/YLR024C/YLR178C/YLR299W/YML088W/YMR067C/YMR174C/YMR184W/YMR297W/YMR304W/YNL015W/YNL155W/YOL038W/YOL082W/YOR003W/YOR007C/YOR261C/YOR362C/YPL052W/YPL154C/YPR108W	67
GO:0019752	GO:0019752	carboxylic acid metabolic process	69/571	401/5607	5.02716930598104e-06	0.000262959625235931	0.000234465548197982	YAL054C/YAL062W/YBR006W/YBR026C/YBR053C/YCL040W/YCL064C/YCR005C/YDL021W/YDR272W/YDR380W/YDR516C/YDR533C/YEL071W/YER024W/YFL030W/YFR053C/YGL010W/YGL062W/YGL184C/YGL205W/YGR019W/YGR087C/YGR254W/YGR256W/YHR112C/YHR137W/YIL101C/YIL160C/YJL052W/YJL088W/YJR078W/YJR148W/YKL015W/YKL085W/YKL218C/YKR009C/YLR142W/YLR345W/YLR438W/YML004C/YML042W/YML054C/YMR020W/YMR095C/YMR110C/YMR169C/YMR170C/YMR250W/YMR303C/YMR323W/YNL009W/YNL117W/YNL202W/YNL274C/YNR001C/YOL058W/YOR040W/YOR100C/YOR221C/YOR317W/YOR347C/YOR374W/YOR388C/YOR391C/YOR393W/YPL280W/YPR001W/YPR081C	69
GO:0006511	GO:0006511	ubiquitin-dependent protein catabolic process	46/571	233/5607	5.8069964794912e-06	0.000292500563411408	0.000260805455921008	YAL005C/YBR062C/YBR105C/YBR114W/YBR169C/YBR170C/YBR173C/YBR280C/YDL097C/YDL126C/YDL147W/YDR059C/YDR330W/YDR358W/YDR363W-A/YDR394W/YEL012W/YER098W/YER143W/YFL044C/YFR004W/YFR010W/YFR050C/YFR052W/YGL011C/YGL141W/YGR048W/YGR066C/YGR225W/YGR253C/YIL097W/YIR025W/YJL034W/YJL048C/YLR024C/YML088W/YMR067C/YMR184W/YMR304W/YNL155W/YOL038W/YOL082W/YOR007C/YOR261C/YOR362C/YPR108W	46
GO:0042026	GO:0042026	protein refolding	12/571	28/5607	7.29146558865645e-06	0.00034214313358384	0.000305068800223362	YAL005C/YBL075C/YBR169C/YDR258C/YER103W/YJL034W/YLL026W/YLR216C/YLR259C/YMR186W/YOR020C/YPL240C	12
GO:0006112	GO:0006112	energy reserve metabolic process	14/571	37/5607	7.29569917200836e-06	0.00034214313358384	0.000305068800223362	YAL017W/YEL011W/YER054C/YER067W/YFR003C/YFR017C/YIL099W/YKL035W/YLR258W/YMR105C/YMR311C/YOR178C/YPR160W/YPR184W	14
GO:0043086	GO:0043086	negative regulation of catalytic activity	21/571	74/5607	8.5946951231719e-06	0.000389626178917126	0.000347406623926106	YBR170C/YBR214W/YDL126C/YDR014W-A/YER179W/YFR003C/YFR017C/YGR048W/YHR138C/YIL033C/YIL113W/YIR025W/YKL193C/YLR178C/YMR174C/YMR311C/YNL015W/YNL250W/YOR027W/YOR173W/YPL052W	21
GO:0048646	GO:0048646	anatomical structure formation involved in morphogenesis	36/571	168/5607	9.44352451304573e-06	0.000403521823718962	0.000359796548702975	YAL018C/YCL048W/YCR045C/YDL222C/YDR218C/YDR512C/YDR516C/YEL060C/YER096W/YER179W/YGL170C/YGR225W/YHL024W/YHR139C/YIL073C/YIL099W/YJL037W/YJL038C/YJL048C/YJL103C/YKL096W/YLR054C/YLR307W/YML066C/YMR067C/YNL012W/YNL194C/YNL196C/YNL202W/YOL047C/YOL048C/YOL071W/YOL132W/YOR177C/YOR338W/YPL027W	36
GO:0030437	GO:0030437	ascospore formation	27/571	110/5607	9.49463114632852e-06	0.000403521823718962	0.000359796548702975	YAL018C/YCL048W/YCR045C/YDL222C/YDR218C/YDR512C/YDR516C/YER096W/YGL170C/YGR225W/YHR139C/YJL037W/YJL038C/YKL096W/YLR054C/YLR307W/YML066C/YNL012W/YNL194C/YNL202W/YOL047C/YOL048C/YOL071W/YOL132W/YOR177C/YOR338W/YPL027W	27
GO:0042182	GO:0042182	ketone catabolic process	7/571	10/5607	1.00021762834393e-05	0.000412210901378104	0.0003675440854393	YDR272W/YDR533C/YHR137W/YML004C/YOR040W/YOR391C/YPL280W	7
GO:0043632	GO:0043632	modification-dependent macromolecule catabolic process	49/571	260/5607	1.10536825428305e-05	0.000441742211426664	0.000393875408330895	YAL005C/YBL022C/YBR062C/YBR105C/YBR114W/YBR169C/YBR170C/YBR173C/YBR280C/YDL097C/YDL126C/YDL147W/YDR059C/YDR330W/YDR358W/YDR363W-A/YDR394W/YEL012W/YER098W/YER143W/YFL044C/YFR004W/YFR010W/YFR050C/YFR052W/YGL011C/YGL141W/YGR048W/YGR066C/YGR225W/YGR253C/YIL097W/YIR025W/YJL034W/YJL048C/YLL039C/YLR024C/YML088W/YML118W/YMR067C/YMR184W/YMR304W/YNL155W/YOL038W/YOL082W/YOR007C/YOR261C/YOR362C/YPR108W	49
GO:0048468	GO:0048468	cell development	27/571	111/5607	1.1368365735245e-05	0.000441742211426664	0.000393875408330895	YAL018C/YCL048W/YCR045C/YDL222C/YDR218C/YDR512C/YDR516C/YER096W/YGL170C/YGR225W/YHR139C/YJL037W/YJL038C/YKL096W/YLR054C/YLR307W/YML066C/YNL012W/YNL194C/YNL202W/YOL047C/YOL048C/YOL071W/YOL132W/YOR177C/YOR338W/YPL027W	27
